"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1FLBW0174","HOLLYWOOD 2.0 SSE, FL US","2019-11-02",,,"0.12",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-01",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-02",,,"0.00",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-03",,,"0.48",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-04",,,"0.07",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-05",,,"0.00",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-06",,,"0.00",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-07",,,"0.00",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-08",,,"0.01",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-09",,,"0.11",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-10",,,"0.19",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-11",,,"0.05",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-12",,,"0.01",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-13",,,"0.02",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-14",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-15",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-16",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-17",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-18",,,"0.00",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-19",,,"0.00",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-20",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-21",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-22",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-23",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-24",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-25",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-26",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-27",,,"0.00",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-28",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-29",,,"0.00",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-30",,,"0.04",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-01-31",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-02-01",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-02-02",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-02-03",,,"0.01",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-02-04",,,"0.13",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-02-05",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-02-06",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-02-07",,,"0.00",,
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-02-08",,,"0.00","0.0",
"US1FLMD0007","SUNSET 2.4 SW, FL US","2018-02-09",,,"0.00","0.0",
